,Open,High,Low,Close,Volume,VolumeTicks
2023.10.05 09:00,114000.00000,114000.00000,113830.00000,113840.00000,3579,35522
2023.10.05 09:01,113840.00000,113840.00000,113665.00000,113710.00000,6762,67165
2023.10.05 09:02,113715.00000,113960.00000,113670.00000,113955.00000,7105,83086
2023.10.05 09:03,113955.00000,114015.00000,113910.00000,113915.00000,4603,47105
2023.10.05 09:04,113920.00000,113930.00000,113730.00000,113760.00000,5326,62509
2023.10.05 09:05,113755.00000,113835.00000,113750.00000,113780.00000,3352,31142
2023.10.05 09:06,113780.00000,113835.00000,113775.00000,113830.00000,1886,18468
2023.10.05 09:07,113830.00000,113865.00000,113790.00000,113800.00000,2224,21739
2023.10.05 09:08,113800.00000,113885.00000,113790.00000,113880.00000,1946,18457
2023.10.05 09:09,113880.00000,114020.00000,113880.00000,114010.00000,4869,55706
2023.10.05 09:10,114005.00000,114020.00000,113960.00000,113975.00000,3566,34392
2023.10.05 09:11,113980.00000,114015.00000,113950.00000,113980.00000,2203,22681
2023.10.05 09:12,113980.00000,114000.00000,113950.00000,113955.00000,1577,13017
2023.10.05 09:13,113960.00000,113975.00000,113885.00000,113895.00000,2890,25098
2023.10.05 09:14,113900.00000,113925.00000,113885.00000,113900.00000,2108,15925
2023.10.05 09:15,113900.00000,113905.00000,113850.00000,113855.00000,2807,26088
2023.10.05 09:16,113860.00000,113875.00000,113830.00000,113860.00000,2562,24834
2023.10.05 09:17,113860.00000,113880.00000,113780.00000,113815.00000,2893,32577
2023.10.05 09:18,113820.00000,113825.00000,113725.00000,113730.00000,3845,43868
2023.10.05 09:19,113730.00000,113765.00000,113680.00000,113690.00000,3136,35937
2023.10.05 09:20,113695.00000,113765.00000,113690.00000,113720.00000,3286,37689
2023.10.05 09:21,113720.00000,113775.00000,113715.00000,113755.00000,2281,21926
2023.10.05 09:22,113760.00000,113785.00000,113710.00000,113730.00000,2433,22437
2023.10.05 09:23,113730.00000,113750.00000,113720.00000,113735.00000,1328,11598
2023.10.05 09:24,113740.00000,113745.00000,113680.00000,113720.00000,2821,27778
2023.10.05 09:25,113720.00000,113745.00000,113685.00000,113685.00000,2537,30442
2023.10.05 09:26,113690.00000,113710.00000,113655.00000,113705.00000,3583,33769
2023.10.05 09:27,113705.00000,113715.00000,113680.00000,113710.00000,1789,14608
2023.10.05 09:28,113710.00000,113740.00000,113700.00000,113735.00000,2631,20061
2023.10.05 09:29,113735.00000,113755.00000,113675.00000,113685.00000,2472,19778
2023.10.05 09:30,113685.00000,113755.00000,113625.00000,113695.00000,5319,66484
2023.10.05 09:31,113695.00000,113705.00000,113650.00000,113675.00000,2903,30676
2023.10.05 09:32,113680.00000,113705.00000,113635.00000,113690.00000,2583,32568
2023.10.05 09:33,113695.00000,113730.00000,113650.00000,113660.00000,2848,30693
2023.10.05 09:34,113660.00000,113675.00000,113615.00000,113625.00000,3455,38346
2023.10.05 09:35,113630.00000,113670.00000,113620.00000,113630.00000,2717,27344
2023.10.05 09:36,113625.00000,113690.00000,113615.00000,113660.00000,2686,29879
2023.10.05 09:37,113660.00000,113675.00000,113610.00000,113635.00000,2308,25527
2023.10.05 09:38,113630.00000,113655.00000,113590.00000,113595.00000,2094,26772
2023.10.05 09:39,113595.00000,113650.00000,113575.00000,113590.00000,3986,52781
2023.10.05 09:40,113590.00000,113610.00000,113555.00000,113590.00000,3662,41460
2023.10.05 09:41,113590.00000,113595.00000,113540.00000,113550.00000,2856,35946
2023.10.05 09:42,113550.00000,113575.00000,113505.00000,113570.00000,4075,50658
2023.10.05 09:43,113570.00000,113620.00000,113555.00000,113605.00000,3897,49481
2023.10.05 09:44,113600.00000,113620.00000,113550.00000,113600.00000,2844,29974
2023.10.05 09:45,113600.00000,113640.00000,113580.00000,113590.00000,3067,32542
2023.10.05 09:46,113595.00000,113665.00000,113580.00000,113585.00000,3724,42169
2023.10.05 09:47,113580.00000,113675.00000,113570.00000,113665.00000,3102,32892
2023.10.05 09:48,113660.00000,113675.00000,113625.00000,113665.00000,2421,25553
2023.10.05 09:49,113665.00000,113725.00000,113660.00000,113700.00000,3868,43512
2023.10.05 09:50,113695.00000,113740.00000,113680.00000,113735.00000,2612,26497
2023.10.05 09:51,113735.00000,113775.00000,113730.00000,113775.00000,4419,49961
2023.10.05 09:52,113770.00000,113830.00000,113750.00000,113820.00000,3688,41662
2023.10.05 09:53,113820.00000,113840.00000,113800.00000,113825.00000,3447,34319
2023.10.05 09:54,113825.00000,113835.00000,113790.00000,113810.00000,2374,20694
2023.10.05 09:55,113815.00000,113865.00000,113810.00000,113840.00000,2980,34216
2023.10.05 09:56,113840.00000,113870.00000,113820.00000,113865.00000,2449,25772
2023.10.05 09:57,113870.00000,113895.00000,113855.00000,113890.00000,3075,31460
2023.10.05 09:58,113885.00000,113945.00000,113870.00000,113930.00000,4209,44099
2023.10.05 09:59,113930.00000,113955.00000,113885.00000,113910.00000,3226,34531
2023.10.05 10:00,113910.00000,113955.00000,113870.00000,113895.00000,4291,50531
2023.10.05 10:01,113900.00000,113915.00000,113860.00000,113900.00000,2951,26667
2023.10.05 10:02,113900.00000,113970.00000,113890.00000,113905.00000,3669,41291
2023.10.05 10:03,113910.00000,113940.00000,113850.00000,113855.00000,2703,33721
