,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 09:00,118560.00000,118810.00000,118465.00000,118510.00000,19788,47305
2023.08.17 09:01,118510.00000,118665.00000,118485.00000,118500.00000,28289,61830
2023.08.17 09:02,118505.00000,118530.00000,118425.00000,118480.00000,21500,55529
2023.08.17 09:03,118485.00000,118515.00000,118380.00000,118455.00000,13699,36266
2023.08.17 09:04,118455.00000,118545.00000,118400.00000,118525.00000,14385,37706
2023.08.17 09:05,118525.00000,118570.00000,118445.00000,118470.00000,14916,43256
2023.08.17 09:06,118470.00000,118690.00000,118420.00000,118635.00000,26080,81967
2023.08.17 09:07,118640.00000,118700.00000,118605.00000,118630.00000,13367,39306
2023.08.17 09:08,118630.00000,118645.00000,118500.00000,118505.00000,12988,35671
2023.08.17 09:09,118505.00000,118525.00000,118455.00000,118495.00000,11449,33106
2023.08.17 09:10,118490.00000,118535.00000,118450.00000,118520.00000,10537,35841
2023.08.17 09:11,118525.00000,118535.00000,118500.00000,118525.00000,4037,14164
2023.08.17 09:12,118530.00000,118530.00000,118445.00000,118515.00000,8327,31346
2023.08.17 09:13,118515.00000,118535.00000,118470.00000,118480.00000,4339,13406
2023.08.17 09:14,118480.00000,118550.00000,118465.00000,118520.00000,7754,22874
2023.08.17 09:15,118520.00000,118545.00000,118500.00000,118535.00000,4937,15521
2023.08.17 09:16,118535.00000,118555.00000,118515.00000,118525.00000,5344,15374
2023.08.17 09:17,118530.00000,118550.00000,118500.00000,118520.00000,3701,11170
2023.08.17 09:18,118520.00000,118590.00000,118460.00000,118580.00000,13575,41539
2023.08.17 09:19,118575.00000,118590.00000,118520.00000,118570.00000,6587,22205
2023.08.17 09:20,118575.00000,118575.00000,118470.00000,118480.00000,9771,31911
2023.08.17 09:21,118485.00000,118485.00000,118425.00000,118440.00000,11387,32851
2023.08.17 09:22,118440.00000,118465.00000,118385.00000,118450.00000,12006,34111
2023.08.17 09:23,118450.00000,118455.00000,118425.00000,118430.00000,3827,12665
2023.08.17 09:24,118430.00000,118485.00000,118405.00000,118460.00000,6951,22629
2023.08.17 09:25,118455.00000,118520.00000,118450.00000,118480.00000,8016,23092
2023.08.17 09:26,118475.00000,118520.00000,118470.00000,118515.00000,2550,6548
2023.08.17 09:27,118515.00000,118535.00000,118495.00000,118525.00000,4262,11148
2023.08.17 09:28,118530.00000,118535.00000,118510.00000,118515.00000,1798,4697
2023.08.17 09:29,118510.00000,118525.00000,118470.00000,118490.00000,3946,11146
2023.08.17 09:30,118485.00000,118545.00000,118460.00000,118505.00000,9198,26702
2023.08.17 09:31,118505.00000,118535.00000,118475.00000,118495.00000,4600,13466
2023.08.17 09:32,118495.00000,118510.00000,118430.00000,118445.00000,8140,20505
2023.08.17 09:33,118445.00000,118455.00000,118365.00000,118380.00000,16383,46841
2023.08.17 09:34,118380.00000,118440.00000,118355.00000,118425.00000,14816,41220
2023.08.17 09:35,118420.00000,118530.00000,118415.00000,118480.00000,16941,45822
2023.08.17 09:36,118485.00000,118520.00000,118480.00000,118505.00000,5236,14669
2023.08.17 09:37,118505.00000,118575.00000,118500.00000,118550.00000,12965,37161
2023.08.17 09:38,118550.00000,118555.00000,118515.00000,118550.00000,5710,17036
2023.08.17 09:39,118550.00000,118575.00000,118515.00000,118550.00000,4998,13577
2023.08.17 09:40,118545.00000,118570.00000,118500.00000,118550.00000,7672,22247
2023.08.17 09:41,118545.00000,118635.00000,118545.00000,118565.00000,18027,57267
2023.08.17 09:42,118570.00000,118640.00000,118555.00000,118615.00000,8842,26160
2023.08.17 09:43,118615.00000,118650.00000,118585.00000,118610.00000,8770,26610
2023.08.17 09:44,118615.00000,118615.00000,118540.00000,118555.00000,10716,32447
2023.08.17 09:45,118560.00000,118610.00000,118550.00000,118590.00000,5737,15792
2023.08.17 09:46,118590.00000,118595.00000,118550.00000,118580.00000,4555,13507
2023.08.17 09:47,118585.00000,118600.00000,118560.00000,118580.00000,4474,14738
2023.08.17 09:48,118580.00000,118590.00000,118525.00000,118530.00000,7449,22203
2023.08.17 09:49,118525.00000,118530.00000,118375.00000,118380.00000,25933,71815
2023.08.17 09:50,118380.00000,118435.00000,118360.00000,118390.00000,18352,58922
2023.08.17 09:51,118390.00000,118435.00000,118375.00000,118410.00000,7520,23116
2023.08.17 09:52,118410.00000,118455.00000,118395.00000,118445.00000,7447,22556
2023.08.17 09:53,118435.00000,118490.00000,118415.00000,118470.00000,8533,26858
